Compound;Number of Elements;Elements+Coeff;At no._sum;At no._wt_avg;At no._maximum;At no._minimum;At wt._sum;At wt._wt_avg;At wt._maximum;At wt._minimum;At Rad_sum;At Rad_wt_avg;At Rad_maximum;At Rad_minimum;Cov Rad_sum;Cov Rad_wt_avg;Cov Rad_maximum;Cov Rad_minimum;Ion Rad_sum;Ion Rad_wt_avg;Ion Rad_maximum;Ion Rad_minimum;No of val e-_sum;No of val e-_wt_avg;No of val e-_maximum;No of val e-_minimum;s e-_sum;s e-_wt_avg;s e-_maximum;s e-_minimum;p e-_sum;p e-_wt_avg;p e-_maximum;p e-_minimum;d e-_sum;d e-_wt_avg;d e-_maximum;d e-_minimum;outer shell e-_sum;outer shell e-_wt_avg;outer shell e-_maximum;outer shell e-_minimum;first IE_sum;first IE_wt_avg;first IE_maximum;first IE_minimum;polarizability_sum;polarizability_wt_avg;polarizability_maximum;polarizability_minimum;MP_sum;MP_wt_avg;MP_maximum;MP_minimum;BP_sum;BP_wt_avg;BP_maximum;BP_minimum;density_sum;density_wt_avg;density_maximum;density_minimum;specific heat_sum;specific heat_wt_avg;specific heat_maximum;specific heat_minimum;heat fusion_sum;heat fusion_wt_avg;heat fusion_maximum;heat fusion_minimum;heat vap_sum;heat vap_wt_avg;heat vap_maximum;heat vap_minimum;ther cond_sum;ther cond_wt_avg;ther cond_maximum;ther cond_minimum;
KTiF3;3;[['K', 1], ['Ti', 1], ['F', '3']];50.0;13.6;22.0;9.0;105.9767032;28.79470192;47.88;18.9984032;461.0;109.0;243.0;42.0;420.0;106.8;203.0;57.0;3.315;1.1949999999999998;1.38;0.605;6.0;1.6;4.0;1.0;19.0;5.4;8.0;4.0;29.0;7.8;12.0;5.0;2.0;0.4;2.0;0.0;10.0;4.8;7.0;1.0;2757.8;1223.96;1681.0;418.8;391.76;79.856;289.0;3.76;2333.4300000000003;488.09800000000007;1943.0;53.53;4685.71;971.146;3562.0;85.01;5.3785799999999995;1.0763479999999999;4.507;0.00158;2101.0;749.8;824.0;520.0;21.26;4.356;18.7;0.26;505.16999999999996;102.342;425.0;3.27;122.0277;24.41662;100.0;0.0277;
RbTiF3;3;[['Rb', 1], ['Ti', 1], ['F', '3']];68.0;17.2;37.0;9.0;152.3462032;38.068601920000006;85.4678;18.9984032;483.0;113.4;265.0;42.0;437.0;110.2;220.0;57.0;3.455;1.223;1.52;0.605;6.0;1.6;4.0;1.0;21.0;5.8;9.0;4.0;35.0;9.0;18.0;5.0;12.0;2.4;10.0;0.0;10.0;4.8;7.0;1.0;2742.0;1220.8;1681.0;403.0;420.76;85.65599999999999;318.0;3.76;2308.53;483.11800000000005;1943.0;53.53;4614.01;956.8059999999999;3562.0;85.01;6.03858;1.208348;4.507;0.00158;1708.0;671.2;824.0;364.0;21.150000000000002;4.3340000000000005;18.7;0.26;499.27;101.162;425.0;3.27;80.0277;16.01662;58.0;0.0277;
TlTiF3;3;[['Tl', 1], ['Ti', 1], ['F', '3']];112.0;26.0;81.0;9.0;271.2617032;61.85170192;204.3833;18.9984032;374.0;91.6;176.0;42.0;362.0;95.2;160.0;57.0;3.435;1.219;1.5;0.605;8.0;2.0;4.0;1.0;24.0;6.4;12.0;4.0;42.0;10.4;25.0;5.0;32.0;6.4;30.0;0.0;12.0;5.2;7.0;2.0;2928.3;1258.06;1681.0;589.3;148.76;31.256;99.0;3.76;2572.8300000000004;535.9780000000001;1943.0;53.53;5407.01;1115.406;3562.0;85.01;16.308580000000003;3.2623480000000007;11.8;0.00158;1473.0;624.2;824.0;129.0;23.23;4.75;18.7;0.26;590.75;119.458;425.0;3.27;68.0277;13.616620000000001;46.0;0.0277;
TlVF3;3;[['Tl', 1], ['V', 1], ['F', '3']];113.0;26.2;81.0;9.0;274.32320319999997;62.46400192;204.3833;18.9984032;369.0;90.6;171.0;42.0;355.0;93.8;153.0;57.0;3.42;1.216;1.5;0.59;9.0;2.2;5.0;1.0;24.0;6.4;12.0;4.0;42.0;10.4;25.0;5.0;33.0;6.6;30.0;0.0;12.0;5.2;7.0;2.0;2920.3;1256.46;1681.0;589.3;133.76;28.256;84.0;3.76;2819.8300000000004;585.378;2190.0;53.53;5527.01;1139.406;3682.0;85.01;17.90158;3.5809480000000002;11.8;0.00158;1442.0;618.0;824.0;129.0;27.330000000000002;5.57;22.8;0.26;618.75;125.05799999999999;453.0;3.27;77.0277;15.41662;46.0;0.0277;
AgCrF3;3;[['Ag', 1], ['Cr', 1], ['F', '3']];80.0;19.6;47.0;9.0;178.8627032;43.371901920000006;107.8682;18.9984032;373.0;91.4;166.0;42.0;341.0;91.0;145.0;57.0;3.1100000000000003;1.1540000000000001;1.33;0.52;8.0;2.0;6.0;1.0;20.0;5.6;9.0;4.0;35.0;9.0;18.0;5.0;25.0;5.0;20.0;0.0;9.0;4.6;7.0;1.0;3064.8;1285.3600000000001;1681.0;652.8;133.76;28.256;78.0;3.76;3418.61;705.134;2130.0;53.53;5467.01;1127.406;2945.0;85.01;17.691580000000002;3.5389480000000004;10.5;0.00158;1507.0;631.0;824.0;235.0;32.07;6.518000000000001;20.5;0.26;596.46;120.6;339.0;3.27;524.0277;104.81661999999999;430.0;0.0277;
AgFeF3;3;[['Ag', 1], ['Fe', 1], ['F', '3']];82.0;20.0;47.0;9.0;182.71360320000002;44.142081919999995;107.8682;18.9984032;363.0;89.4;165.0;42.0;334.0;89.6;145.0;57.0;3.2350000000000003;1.179;1.33;0.645;5.0;1.4;3.0;1.0;21.0;5.8;9.0;4.0;35.0;9.0;18.0;5.0;26.0;5.2;20.0;0.0;10.0;4.8;7.0;1.0;3171.3;1306.66;1681.0;731.0;112.76;24.056;57.0;3.76;3098.61;641.134;1810.0;53.53;5667.51;1167.5059999999999;3145.5;85.01;18.36158;3.6729480000000003;10.5;0.00158;1508.0;631.2;824.0;235.0;25.37;5.178;13.8;0.26;604.46;122.2;347.0;3.27;509.0277;101.81662;430.0;0.0277;
AgTiF3;3;[['Ag', 1], ['Ti', 1], ['F', '3']];78.0;19.2;47.0;9.0;174.74660319999998;42.54868192;107.8682;18.9984032;383.0;93.4;176.0;42.0;362.0;95.2;160.0;57.0;3.1950000000000003;1.171;1.33;0.605;6.0;1.6;4.0;1.0;21.0;5.8;9.0;4.0;35.0;9.0;18.0;5.0;22.0;4.4;20.0;0.0;10.0;4.8;7.0;1.0;3070.0;1286.4;1681.0;658.0;154.76;32.456;99.0;3.76;3231.61;667.734;1943.0;53.53;6084.01;1250.806;3562.0;85.01;15.00858;3.002348;10.5;0.00158;1579.0;645.4;824.0;235.0;30.27;6.1579999999999995;18.7;0.26;682.46;137.8;425.0;3.27;452.0277;90.41662;430.0;0.0277;
AgVF3;3;[['Ag', 1], ['V', 1], ['F', '3']];79.0;19.4;47.0;9.0;177.8081032;43.16098192;107.8682;18.9984032;378.0;92.4;171.0;42.0;355.0;93.8;153.0;57.0;3.18;1.168;1.33;0.59;7.0;1.8;5.0;1.0;21.0;5.8;9.0;4.0;35.0;9.0;18.0;5.0;23.0;4.6;20.0;0.0;10.0;4.8;7.0;1.0;3062.0;1284.8;1681.0;650.0;139.76;29.456;84.0;3.76;3478.61;717.134;2190.0;53.53;6204.01;1274.806;3682.0;85.01;16.601580000000002;3.3209480000000005;10.5;0.00158;1548.0;639.2;824.0;235.0;34.37;6.978;22.8;0.26;710.46;143.4;453.0;3.27;461.0277;92.21662;430.0;0.0277;
AgZrF3;3;[['Ag', 1], ['Zr', 1], ['F', '3']];96.0;22.8;47.0;9.0;218.09060319999998;51.21748192;107.8682;18.9984032;413.0;99.4;206.0;42.0;377.0;98.2;175.0;57.0;3.31;1.1940000000000002;1.33;0.72;6.0;1.6;4.0;1.0;23.0;6.2;10.0;4.0;41.0;10.2;18.0;5.0;32.0;6.4;20.0;0.0;10.0;4.8;7.0;1.0;3072.0;1286.8;1681.0;660.0;176.76;36.856;121.0;3.76;3413.61;704.134;2125.0;53.53;7299.01;1493.806;4777.0;85.01;17.02158;3.404948;10.5;0.00158;1337.0;597.0;824.0;235.0;32.57;6.618;21.0;0.26;837.46;168.8;580.0;3.27;453.0277;90.61662;430.0;0.0277;
KZrF3;3;[['K', 1], ['Zr', 1], ['F', '3']];68.0;17.2;40.0;9.0;149.32070320000003;37.46350192;91.224;18.9984032;491.0;115.0;243.0;42.0;435.0;109.8;203.0;57.0;3.4299999999999997;1.218;1.38;0.72;6.0;1.6;4.0;1.0;21.0;5.8;10.0;4.0;35.0;9.0;18.0;5.0;12.0;2.4;12.0;0.0;10.0;4.8;7.0;1.0;2759.8;1224.3600000000001;1681.0;418.8;413.76;84.256;289.0;3.76;2515.4300000000003;524.498;2125.0;53.53;5900.71;1214.146;4777.0;85.01;7.391579999999999;1.478948;6.52;0.00158;1859.0;701.4;824.0;278.0;23.560000000000002;4.816000000000001;21.0;0.26;660.17;133.34199999999998;580.0;3.27;123.0277;24.61662;100.0;0.0277;
RbZrF3;3;[['Rb', 1], ['Zr', 1], ['F', '3']];86.0;20.8;40.0;9.0;195.69020319999998;46.73740192;91.224;18.9984032;513.0;119.4;265.0;42.0;452.0;113.2;220.0;57.0;3.5700000000000003;1.246;1.52;0.72;6.0;1.6;4.0;1.0;23.0;6.2;10.0;4.0;41.0;10.2;18.0;5.0;22.0;4.4;12.0;0.0;10.0;4.8;7.0;1.0;2744.0;1221.2;1681.0;403.0;442.76;90.056;318.0;3.76;2490.53;519.518;2125.0;53.53;5829.01;1199.806;4777.0;85.01;8.05158;1.6109479999999998;6.52;0.00158;1466.0;622.8;824.0;278.0;23.450000000000003;4.7940000000000005;21.0;0.26;654.27;132.16199999999998;580.0;3.27;81.0277;16.21662;58.0;0.0277;
