Compound,Number of Elements,Elements+Coeff,At no._sum,At no._wt_avg,At no._maximum,At no._minimum,At wt._sum,At wt._wt_avg,At wt._maximum,At wt._minimum,At Rad_sum,At Rad_wt_avg,At Rad_maximum,At Rad_minimum,Cov Rad_sum,Cov Rad_wt_avg,Cov Rad_maximum,Cov Rad_minimum,Ion Rad_sum,Ion Rad_wt_avg,Ion Rad_maximum,Ion Rad_minimum,No of val e-_sum,No of val e-_wt_avg,No of val e-_maximum,No of val e-_minimum,s e-_sum,s e-_wt_avg,s e-_maximum,s e-_minimum,p e-_sum,p e-_wt_avg,p e-_maximum,p e-_minimum,d e-_sum,d e-_wt_avg,d e-_maximum,d e-_minimum,outer shell e-_sum,outer shell e-_wt_avg,outer shell e-_maximum,outer shell e-_minimum,first IE_sum,first IE_wt_avg,first IE_maximum,first IE_minimum,polarizability_sum,polarizability_wt_avg,polarizability_maximum,polarizability_minimum,MP_sum,MP_wt_avg,MP_maximum,MP_minimum,BP_sum,BP_wt_avg,BP_maximum,BP_minimum,density_sum,density_wt_avg,density_maximum,density_minimum,specific heat_sum,specific heat_wt_avg,specific heat_maximum,specific heat_minimum,heat fusion_sum,heat fusion_wt_avg,heat fusion_maximum,heat fusion_minimum,heat vap_sum,heat vap_wt_avg,heat vap_maximum,heat vap_minimum,ther cond_sum,ther cond_wt_avg,ther cond_maximum,ther cond_minimum,Eg (eV)
AgIn5Te8,3,"[['Ag', 1], ['In', '5'], ['Te', '8']]",148,50.57142857,52,47,350.2862,121.6255857,127.6,107.8682,444,137.7857143,165,123,425,139.9285714,145,138,3.03,0.93,1.26,0.8,10,4.571428571,6,1,29,9.928571429,10,9,59,20.64285714,22,18,60,20,20,20,10,4.571428571,6,1,2297.7,827.8357143,1008.4,558.3,154,48.07142857,65,37,2051.66,462.7414286,1235.08,386.8,5237.39,1272.222857,2437,457.39,22.44,6.012857143,10.5,4.66,669,214.8571429,235,201,32.08,11.97571429,17.5,3.27,527.06,125.8957143,254.19,48,515,61.71428571,430,3,0.47
Rb7Th2P6Se21,4,"[['Rb', '7'], ['Th', '2'], ['P', '6'], ['Se', '21']]",176,34.52777778,90,15,427.439662,80.73203811,232.0381,30.973762,646,137.9444444,265,98,653,142.0555556,220,107,3.372,0.704555556,1.52,0.38,16,4.75,6,1,37,8.194444444,14,6,73,16,30,9,52,9.555555556,32,0,14,4.638888889,6,1,2942.6,828.4472222,1011.7,403,585.6,93.15555556,318,24.6,3142.25,511.7638889,2023,312,7538.15,1120.163889,5060,553.15,19.548,3.866055556,11.71,1.53,1572,392.75,769,118,24.23,4.571388889,16,0.64,639.4,60.48333333,530,12.4,112.756,14.62044444,58,0.236,2.07
TlS,2,"[['Tl', 1], ['S', 1]]",97,48.5,81,16,236.4493,118.22465,204.3833,32.066,243,121.5,156,87,250,125,145,105,1.87,0.935,1.5,0.37,9,4.5,6,3,18,9,12,6,35,17.5,25,10,30,15,30,0,9,4.5,6,3,1588.88,794.44,999.58,589.3,65.6,32.8,46,19.6,964.66,482.33,576.3,388.36,2477.824,1238.912,1760,717.824,13.757,6.8785,11.8,1.957,834,417,705,129,6,3,4.27,1.73,172.28,86.14,162.48,9.8,46.205,23.1025,46,0.205,1.37
CdS,2,"[['Cd', 1], ['S', 1]]",64,32,48,16,144.477,72.2385,112.411,32.066,248,124,161,87,249,124.5,144,105,1.34,0.67,0.97,0.37,8,4,6,2,16,8,10,6,28,14,18,10,20,10,20,0,8,4,6,2,1867.28,933.64,999.58,867.7,65.6,32.8,46,19.6,982.62,491.31,594.26,388.36,1757.824,878.912,1040,717.824,10.499,5.2495,8.542,1.957,935,467.5,705,230,7.84,3.92,6.11,1.73,109.88,54.94,100.08,9.8,96.205,48.1025,96,0.205,2.5
Al2Se3,2,"[['Al', '2'], ['Se', '3']]",47,25.6,34,13,105.941539,58.1686156,78.96,26.981539,221,109,118,103,241,120.4,121,120,1.035,0.514,0.535,0.5,9,4.8,6,3,14,7.2,8,6,23,12.4,16,7,10,6,10,0,9,4.8,6,3,1518.5,795.58,940.9,577.6,82,38,56,26,1423.52,667.408,933.52,490,3678,1662.8,2720,958,7.1784,3.76736,4.48,2.6984,1225,554.2,904,321,16.08,7.512,10.68,5.4,319,132.8,293,26,235.52,94.312,235,0.52,3.1
In2GeTe3,3,"[['In', '2'], ['Ge', 1], ['Te', '3']]",133,47.66666667,52,32,315.028,114.1743333,127.6,72.61,404,134.3333333,156,123,400,136.3333333,142,120,2.3,0.84,0.97,0.53,13,4.666666667,6,3,28,9.666666667,10,8,55,19.66666667,22,14,50,18.33333333,20,10,13,4.666666667,6,3,2328.8,817.3166667,1008.4,558.3,143,47,65,37,2029.58,538.8266667,1213,386.8,5925.39,1530.528333,3125,457.39,17.263,5.643833333,7.28,4.66,755,231.6666667,321,201,52.6,15.145,31.83,3.27,606.87,154.6233333,334,48,145,38.83333333,82,3,0.68
BiSeBr,3,"[['Bi', 1], ['Se', 1], ['Br', 1]]",152,50.66666667,83,34,367.84437,122.61479,208.98037,78.96,340,113.3333333,143,94,388,129.3333333,148,120,3.49,1.163333333,1.96,0.5,16,5.333333333,6,5,28,9.333333333,12,8,60,20,27,16,50,16.66666667,30,10,18,6,7,5,2784.1,928.0333333,1139.9,703.3,97.9,32.63333333,50,21.9,1300.49,433.4966667,544.59,265.9,3141.91,1047.303333,1852,331.91,17.3828,5.794266667,9.8,3.1028,1390,463.3333333,947,122,22.09,7.363333333,10.89,5.4,200.99,66.99666667,160,14.99,8.64,2.88,8,0.12,1.5
GaAs0.4P0.6,3,"[['Ga', 1], ['As', '0.4'], ['P', '0.6']]",79,26.6,33,15,175.618352,59.1379466,74.92159,30.973762,348,120.2,136,98,348,116.9,122,107,1.58,0.54,0.62,0.38,13,4,5,3,22,7.4,8,6,37,12.2,15,9,20,7,10,0,13,4,5,3,2537.5,782.31,1011.7,578.8,107.6,40.18,54,24.6,620.18,246.64,317.25,0,3691.15,1469.445,2253,553.15,13.451,4.6439,5.903,1.828,1468,481.8,769,328,33.97,8.541,27.72,0.64,300.85,138.21,256,12.4,79.236,24.5708,50,0.236,2.1
K2AuPS4,4,"[['K', '2'], ['Au', 1], ['P', 1], ['S', '4']]",129,24.5,79,15,299.104602,54.30011275,196.96654,30.973762,602,138.25,243,87,551,133.625,203,105,2.98,0.68375,1.38,0.37,17,4.5,6,1,30,6.875,11,6,55,12.125,24,9,30,3.75,30,0,13,4,6,1,3320.18,842.215,1011.7,418.8,368.2,89.5,289,19.6,2380.09,485.25875,1337.58,317.25,5390.674,1072.85575,3081,553.15,23.955,3.837,19.3,0.87,2360,654,769,129,17.36,3.10625,12.69,0.64,429.1,66.925,330,9.8,420.441,65.132,320,0.205,2.63
CsH3Se2O6,4,"[['Cs', 1], ['H', '3'], ['Se', '2'], ['O', '6']]",98,14.5,55,1,228.87277,32.4871375,132.90543,1.00794,502,79.25,298,48,461,81.08333333,244,31,3.582,0.9255,1.67,0.012,10,2.333333333,6,1,24,4.5,11,1,44,6.666666667,24,0,30,3.333333333,20,0,14,4.333333333,6,1,3942.5,1173.075,1313.9,375.7,435.5,41.70833333,399,4.5,860.32,137.5033333,490,13.96,2020.278,289.1665,958,20.39,6.35992087,0.903896301,4.48,8.99E-05,15782,4108.166667,14300,242,8.268,1.323666667,5.4,0.22,93.86,11.48416667,64,0.45,36.72708,3.145081667,36,0.02658,4.77
CsB3GeO7,4,"[['Cs', 1], ['B', '3'], ['Ge', 1], ['O', '7']]",100,13.16666667,55,5,232.32583,29.16201917,132.90543,10.811,558,85,298,48,515,90.08333333,244,66,3.83,1.0575,1.67,0.23,10,2.333333333,4,1,27,4.916666667,11,4,43,5.75,24,1,30,2.5,20,0,14,4.666666667,6,1,3252.3,1061.408333,1313.9,375.7,466.4,45.26666667,399,6,4019.36,770.46,2450,54.36,8098.038,1375.122167,3931.15,90.188,9.662831,1.215901417,5.323,0.001331,2512,840.5,1030,242,84.14,15.455,50,0.22,908.41,161.9058333,507,3.41,123.02658,14.765505,60,0.02658,5.76
Pb0.97Sn0.03Te,3,"[['Pb', '0.97'], ['Sn', '0.03'], ['Te', 1]]",184,66.52,82,50,453.51,166.07265,207.2,118.71,422,138.365,154,123,423,141.895,146,138,2.85,1.0725,1.19,0.69,14,5,6,4,32,10.97,12,10,68,23.91,26,20,70,24.85,30,20,14,5,6,4,2432.5,861.8465,1008.4,708.6,139,43.53,52,37,1492.57,492.29205,600.65,386.8,5377.39,1253.775,2896,457.39,23.28,7.9391,11.34,4.66,545,165.35,217,127,29.47,11.17145,17.5,4.77,517.85,114.10615,293.13,48,105,19.48,67,3,0.3
