composition,Eg (eV),Classified,Compound,Number of Elements,Elements+Coeff,At no_sum,At no_wt_avg,At no_maximum,At no_minimum,At wt_sum,At wt_wt_avg,At wt_maximum,At wt_minimum,At Rad_sum,At Rad_wt_avg,At Rad_maximum,At Rad_minimum,Cov Rad_sum,Cov Rad_wt_avg,Cov Rad_maximum,Cov Rad_minimum,Ion Rad_sum,Ion Rad_wt_avg,Ion Rad_maximum,Ion Rad_minimum,No of val e-_sum,No of val e-_wt_avg,No of val e-_maximum,No of val e-_minimum,s e-_sum,s e-_wt_avg,s e-_maximum,s e-_minimum,p e-_sum,p e-_wt_avg,p e-_maximum,p e-_minimum,d e-_sum,d e-_wt_avg,d e-_maximum,d e-_minimum,outer shell e-_sum,outer shell e-_wt_avg,outer shell e-_maximum,outer shell e-_minimum,first IE_sum,first IE_wt_avg,first IE_maximum,first IE_minimum,polarizability_sum,polarizability_wt_avg,polarizability_maximum,polarizability_minimum,MP_sum,MP_wt_avg,MP_maximum,MP_minimum,BP_sum,BP_wt_avg,BP_maximum,BP_minimum,density_sum,density_wt_avg,density_maximum,density_minimum,specific heat_sum,specific heat_wt_avg,specific heat_maximum,specific heat_minimum,heat fusion_sum,heat fusion_wt_avg,heat fusion_maximum,heat fusion_minimum,heat vap_sum,heat vap_wt_avg,heat vap_maximum,heat vap_minimum,ther cond_sum,ther cond_wt_avg,ther cond_maximum,ther cond_minimum
AgIn5Te8,0.47,1,AgIn5Te8,3,"[['Ag', 1], ['In', '5'], ['Te', '8']]",0.454545455,0.61985543,0.540229885,0.851851852,0.48791891,0.644734362,0.513995596,0.891525737,0.340683572,0.404343511,0.369668246,0.570422535,0.371777476,0.522436808,0.377358491,0.769784173,0.432766615,0.421647155,0.52284264,0.479041916,0.4,0.615763547,0.833333333,0,0.488888889,0.800433592,0.6,0.8,0.568627451,0.781110908,0.724137931,0.75,0.571428571,0.696969697,0.625,1,0.242424242,0.324675325,0.294117647,0,0.307682597,0.381947169,0.359428571,0.256929788,0.131329765,0.13500742,0.11780243,0.285960083,0.235581777,0.14386024,0.30543972,0.157877551,0.296736965,0.243392102,0.359758369,0.091872153,0.415125713,0.462125302,0.450623983,0.545534905,0.01841699,0.007050367,0.002411519,0.141248721,0.186839477,0.1844509,0.161556152,0.061269586,0.258325494,0.191151296,0.306995937,0.082046415,0.530338479,0.215151708,1,0.01994185
Rb7Th2P6Se21,2.07,1,Rb7Th2P6Se21,4,"[['Rb', '7'], ['Th', '2'], ['P', '6'], ['Se', '21']]",0.545454545,0.40400052,0.977011494,0.259259259,0.578383112,0.453519719,0.973634119,0.558379158,0.56339581,0.405121918,0.843601896,0.394366197,0.681139756,0.535122598,0.849056604,0.54676259,0.485625966,0.294316652,0.654822335,0.22754491,0.7,0.646551724,0.833333333,0,0.666666667,0.6092918,1,0.5,0.705882353,0.598804951,1,0.375,0.495238095,0.332996633,1,0,0.363636364,0.330808081,0.294117647,0,0.470499129,0.382578021,0.362571429,0.038412832,0.575545492,0.282905048,0.786053883,0.17928424,0.364217,0.160256347,0.509266253,0.127346939,0.442312211,0.212012405,0.836441252,0.112004137,0.360317434,0.292824769,0.505335504,0.179106325,0.066482142,0.022388598,0.040286545,0.05629478,0.138437065,0.066103513,0.147182829,0.008437123,0.315450917,0.089716701,0.657186389,0.020619446,0.116067607,0.050893405,0.134784925,0.00151409
TlS,1.37,1,TlS,2,"[['Tl', 1], ['S', 1]]",0.288961039,0.591985961,0.873563218,0.277777778,0.354442537,0.628831885,0.851923638,0.563111299,0.11907387,0.324478954,0.327014218,0.316901408,0.134328358,0.433399602,0.377358491,0.532374101,0.253477589,0.424471144,0.644670051,0.221556886,0.35,0.603448276,0.833333333,0.4,0.244444444,0.698083067,0.8,0.5,0.333333333,0.657703799,0.827586207,0.416666667,0.285714286,0.522727273,0.9375,0,0.212121212,0.318181818,0.294117647,0.4,0.128728319,0.347495068,0.351028571,0.300548755,0.040345821,0.084909787,0.067617538,0.136269787,0.107369995,0.150411855,0.135020333,0.158514286,0.122131834,0.236517896,0.236725845,0.146624171,0.250568214,0.530391414,0.509404956,0.229095144,0.027199659,0.024479475,0.035747216,0.067553736,0.026032482,0.040987144,0.034783442,0.030333467,0.077918182,0.129502343,0.19055358,0.016133207,0.04752677,0.080477911,0.106874762,0.001307411
CdS,2.5,1,CdS,2,"[['Cd', 1], ['S', 1]]",0.181818182,0.369991226,0.494252874,0.277777778,0.246602908,0.41380468,0.44714787,0.563111299,0.124586549,0.336738864,0.3507109,0.316901408,0.132971506,0.430417495,0.371069182,0.532374101,0.171561051,0.274799754,0.375634518,0.221556886,0.3,0.517241379,0.833333333,0.2,0.2,0.587859425,0.6,0.5,0.264705882,0.520273154,0.586206897,0.416666667,0.19047619,0.348484848,0.625,0,0.181818182,0.272727273,0.294117647,0.2,0.199015375,0.491098302,0.351028571,0.692275222,0.040345821,0.084909787,0.067617538,0.136269787,0.10948838,0.153415316,0.139666394,0.158514286,0.076575506,0.162226385,0.105878847,0.146624171,0.188823618,0.401925621,0.362090794,0.229095144,0.032575717,0.028833672,0.035747216,0.170931423,0.037377761,0.055692008,0.052414718,0.030333467,0.046187486,0.081120687,0.111325546,0.016133207,0.099021742,0.167675249,0.22316711,0.001307411
Al2Se3,3.1,1,Al2Se3,2,"[['Al', '2'], ['Se', '3']]",0.126623377,0.283884177,0.333333333,0.222222222,0.201419197,0.348015134,0.299927955,0.541082778,0.094818082,0.263179403,0.146919431,0.429577465,0.122116689,0.405964215,0.226415094,0.64028777,0.124420402,0.186691312,0.154822335,0.299401198,0.35,0.655172414,0.833333333,0.4,0.155555556,0.499680511,0.4,0.5,0.215686275,0.457447717,0.517241379,0.291666667,0.095238095,0.209090909,0.3125,0,0.212121212,0.345454545,0.294117647,0.4,0.11095963,0.348671128,0.295142857,0.284086112,0.057225196,0.101968289,0.094030639,0.191328286,0.161492588,0.212313254,0.227429352,0.2,0.198070183,0.323993675,0.411188509,0.197117275,0.125892646,0.285041465,0.178422861,0.315890719,0.048011923,0.036309096,0.049861692,0.264073695,0.088184879,0.113104911,0.096205443,0.104057855,0.152525997,0.201857732,0.356272219,0.044085929,0.242502183,0.328849065,0.54645984,0.003407536
In2GeTe3,0.68,1,In2GeTe3,3,"[['In', '2'], ['Ge', 1], ['Te', '3']]",0.405844156,0.580774105,0.540229885,0.574074074,0.446577863,0.609892959,0.513995596,0.738768931,0.296582139,0.387413159,0.327014218,0.570422535,0.337856174,0.500994036,0.358490566,0.64028777,0.319938176,0.370815362,0.375634518,0.317365269,0.55,0.632183908,0.833333333,0.4,0.466666667,0.771565495,0.6,0.7,0.529411765,0.742779912,0.724137931,0.583333333,0.476190476,0.638888889,0.625,0.5,0.333333333,0.333333333,0.294117647,0.4,0.315534348,0.371095379,0.359428571,0.256929788,0.120008234,0.131492619,0.11780243,0.285960083,0.232977439,0.169307795,0.299727859,0.157877551,0.340268567,0.296697391,0.484789945,0.091872153,0.317012829,0.433023438,0.305028034,0.545534905,0.022994624,0.008499713,0.008511242,0.141248721,0.313363998,0.23510733,0.298869299,0.061269586,0.298909257,0.235699046,0.408329101,0.082046415,0.149275685,0.135345383,0.190605253,0.01994185
BiSeBr,1.5,1,BiSeBr,3,"[['Bi', 1], ['Se', 1], ['Br', 1]]",0.467532468,0.621136785,0.896551724,0.611111111,0.508506267,0.649359794,0.872155627,0.766280424,0.226019846,0.284429914,0.265402844,0.366197183,0.321573948,0.459244533,0.396226415,0.64028777,0.503863988,0.553433285,0.878172589,0.299401198,0.7,0.747126437,0.833333333,0.8,0.466666667,0.734824281,0.8,0.7,0.578431373,0.755868545,0.896551724,0.666666667,0.476190476,0.580808081,0.9375,0.5,0.484848485,0.454545455,0.352941176,0.8,0.430482971,0.485314283,0.484666667,0.460953989,0.073589955,0.08436304,0.078182779,0.156056435,0.146981185,0.134079003,0.126817293,0.108530612,0.164150333,0.196976514,0.253445183,0.065492021,0.319283241,0.444886874,0.418972689,0.36323376,0.056794592,0.028474415,0.052911554,0.060388946,0.125242012,0.11072869,0.098217708,0.104057855,0.092517353,0.099816889,0.187404774,0.025088431,0.008838597,0.009943984,0.018492577,0.000740711
GaAs0.4P0.6,2.1,1,GaAs0.4P0.6,3,"[['Ga', 1], ['As', '0.4'], ['P', '0.6']]",0.230519481,0.297338403,0.32183908,0.259259259,0.283116857,0.352547641,0.282154663,0.558379158,0.234840132,0.318103801,0.232227488,0.394366197,0.267299864,0.385089463,0.232704403,0.54676259,0.208655332,0.201376053,0.197969543,0.22754491,0.55,0.517241379,0.666666667,0.4,0.333333333,0.52172524,0.4,0.5,0.352941176,0.449594537,0.482758621,0.375,0.19047619,0.243939394,0.3125,0,0.333333333,0.272727273,0.235294118,0.4,0.368224393,0.334981366,0.362571429,0.285774588,0.083573487,0.109119738,0.088748019,0.17928424,0.066738538,0.07158271,0.06800685,0,0.198902219,0.28409191,0.326319692,0.112004137,0.244768998,0.354166944,0.242765419,0.213993135,0.060946399,0.030066643,0.040286545,0.271238485,0.198493051,0.129551981,0.259486393,0.008437123,0.143296636,0.210246987,0.309294058,0.020619446,0.081545378,0.085599185,0.11617815,0.00151409
K2AuPS4,2.63,1,K2AuPS4,4,"[['K', '2'], ['Au', 1], ['P', 1], ['S', '4']]",0.392857143,0.269084528,0.850574713,0.259259259,0.427907314,0.329926354,0.81928202,0.558379158,0.514884234,0.406620351,0.739336493,0.316901408,0.542740841,0.484840954,0.742138365,0.532374101,0.42503864,0.282565722,0.583756345,0.221556886,0.75,0.603448276,0.833333333,0,0.511111111,0.463857827,0.7,0.5,0.529411765,0.446649595,0.793103448,0.375,0.285714286,0.130681818,0.9375,0,0.333333333,0.272727273,0.294117647,0,0.565825949,0.396781307,0.362571429,0.060644435,0.35179086,0.270913067,0.70945589,0.136269787,0.274320136,0.151391408,0.331955381,0.129489796,0.306435654,0.202249647,0.47679374,0.112004137,0.443837519,0.290533397,0.848525954,0.101840234,0.108426039,0.044914025,0.040286545,0.067553736,0.096077247,0.042685396,0.115465696,0.008437123,0.208512369,0.099705756,0.403250381,0.016133207,0.432952218,0.227072332,0.744156833,0.001307411
CsH3Se2O6,4.77,1,CsH3Se2O6,4,"[['Cs', 1], ['H', '3'], ['Se', '2'], ['O', '6']]",0.292207792,0.134542264,0.574712644,0,0.345558882,0.227930794,0.537345121,0.428551678,0.40463065,0.117286473,1,0.042253521,0.420624152,0.171471173,1,0,0.518083462,0.419105566,0.730964467,0.007185629,0.4,0.229885057,0.833333333,0,0.377777778,0.202076677,0.7,0,0.421568627,0.232323232,0.793103448,0,0.285714286,0.116161616,0.625,0,0.363636364,0.303030303,0.294117647,0,0.722941756,0.738107212,0.650380952,0,0.421058049,0.114133406,1,0.006366139,0.09506308,0.035080737,0.11269544,0.005697959,0.093181673,0.040523371,0.090976827,0,0.110381085,0.059223702,0.178422861,0,0.82285623,0.342738261,1,0.18321392,0.040016771,0.01419339,0.045611345,0,0.03804124,0.013733981,0.06551549,0,0.037765465,0.010868561,0.083616292,0.000117874
